Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
F07I10            1          -0.6509         0.4325
F07I10            2          -0.3648         0.3276
F07I10            3           0.6264         0.2394
F07I10            4          -0.0852         0.3100
F07I10            5           0.0227        -0.3792
F07I10            6          -0.0135        -0.2196
F07I10            7           0.5020         0.5458
F07I10            8           0.4577         0.1457
F07I10            9          -0.0653         0.3359
F07I10           10           0.0303         0.0661
F07I10           11          -1.2399         0.2876
F07I10           12           0.1724         0.1924
F07I10           13           0.5154         0.3526
F07I10           14          -0.1547         1.3252
F07I10           15           2.5492         0.2110
F07I10           16          -0.6798         0.4685
F07I10           17          -0.1896         0.5541
F07I10           18          -0.6923         0.0037
F07I10           19           0.2456         0.2502
F07I10           20           0.8240        -0.9450
F07I10           21           0.7798         1.0117
F07I10           22           2.5470         1.2287
F07I10           23          -1.4168         0.9609
F07I10           24           2.2537         0.8595
F07I10           25           2.9405         1.6443
F07I10           26           1.7013         1.5386
F07I10           27           0.2372         1.5117
F07I10           28           1.3226         2.1503
F07I10           29           2.3345         1.7973
F07I10           30           1.0821         0.7208
F07I10           31           4.0478         1.5869
F07I10           32           1.3066         1.5500
F07I10           33           1.9482         0.9056
F07I10           34           6.5662         3.5277
F07I10           35           1.3722         1.2757
F07I10           36           1.2775         1.9845
F07I10           37           1.3126         0.1816
F07I10           38           1.7625         1.0101
F07I10           39           6.2635         3.3329
F07I10           40           4.6955         1.7443
F07I10           41           3.4128        -0.3031
F07I10           42           0.8105         0.1944
F07I10           43           0.8190         0.5128
F07I10           44           0.7724         0.4387
F07I10           45           0.7763        -0.1111
F07I10           46          -0.1204         0.4422
F07I10           47           0.3203         0.2302
F07I10           48           0.2070         0.1569
F07I10           49           0.1027         0.4256
F07I10           50           0.4336        -0.0007
F07I10           51           0.6290         0.0316
F07I10           52           0.6197         0.0982
F07I10           53           0.7962         0.1720
F07I10           54           0.2308         0.1429
F07I10           55           0.5201         0.1243
F07I10           56           0.9022         0.3097
F07I10           57           1.9421         0.4570
F07I10           58          -0.0213         0.0198
F07I10           59           0.8612         0.3271
F07I10           60          -0.4921        -0.1148
F07I10           61          -3.2751         0.3666
F07I10           62           0.5171        -0.8053
F07I10           63           1.3982         0.2148
F07I10           64           0.7808         0.2759
F07I10           65          -0.5321         0.9284
F07I10           66          -0.5418         0.1663
F07I10           67           0.2475         0.2348
F07I10           68           1.0496         0.2601
F07I10           69          -0.8774        -0.2320
F07I10           70          -1.1610         0.5870
F07I10           71          -1.2091        -0.0038
F07I10           72          -0.1330         1.5312
F07I10           73           2.1765        -0.0080
F07I10           74           0.8892         0.1512
F07I10           75           2.0605         0.8757
F07I10           76          -2.2801         0.0921
F07I10           77           0.1001         0.9177
F07I10           78           0.8529        -0.6786
F07I10           79           2.3655         0.4157
F07I10           80          -0.1922         1.4960
F07I10           81          -0.5166        -1.0412
F07I10           82           0.6719         0.5588
F07I10           83           0.3609         0.0906
F07I10           84           0.2126         0.3215
F07I10           85          -0.8612         0.1067
F07I10           86           0.3386        -0.5130
F07I10           87          -0.6723         0.2973
F07I10           88           0.0482        -1.3302
F07I10           89          -0.0517         0.8685
F07I10           90           1.5552        -0.2127
F07I10           91           1.2255         0.0101
F07I10           92           0.3127         0.2560
F07I10           93           0.8350        -1.5097
F07I10           94           1.5239         0.2721
F07I10           95          -2.4883         0.4866
F07I10           96           2.2778         0.2298
F07I10           97          -0.4883        -0.0869
F07I10           98           1.9501         0.3147
F07I10           99          -0.2457        -0.1939
F07I10          100          -2.2469        -2.6758
F07I10          101           1.1080        -0.1113
F07I10          102           0.3376        -0.3669
F07I10          103           0.6425        -0.1811
F07I10          104           0.6934         0.4018
F07I10          105           0.1543         0.2343
F07I10          106           0.5641        -0.1321
F07I10          107           1.0153         0.1713
F07I10          108           0.4827         0.1012
F07I10          109           0.3649         0.2924
F07I10          110           0.3993         0.0448
F07I10          111           0.3769         0.2290
F07I10          112           1.1772         0.2174
F07I10          113           0.4025         0.0263
F07I10          114           0.4788         0.3176
F07I10          115          -0.0736        -0.0498
F07I10          116           0.3619         0.3188
F07I10          117          -0.3741         0.0671
F07I10          118          -0.0024         0.0712
F07I10          119           0.5335         0.0796
F07I10          120          -0.0953         0.2336
