Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
F30T02            1           0.3292        -0.0639
F30T02            2           0.2541         1.0503
F30T02            3           0.3583        -0.0756
F30T02            4           0.0926         0.2146
F30T02            5          -0.0137        -0.1472
F30T02            6          -0.0406         0.0334
F30T02            7           0.1582        -0.0736
F30T02            8           0.0977        -0.0410
F30T02            9          -0.9608        -1.3460
F30T02           10           2.3702         0.2836
F30T02           11           0.2006         0.0340
F30T02           12           0.1659        -0.0371
F30T02           13           0.6243        -0.9064
F30T02           14          -1.3496        -0.0549
F30T02           15          -0.0451        -0.0613
F30T02           16          -0.4886        -0.1401
F30T02           17          -0.1567         0.0146
F30T02           18          -0.1374         4.1382
F30T02           19           3.4165         0.0627
F30T02           20          -2.5936        -0.2060
F30T02           21           3.9591         0.2881
F30T02           22           1.3406        -0.5445
F30T02           23           7.6263         1.0991
F30T02           24          -2.2216        -0.0962
F30T02           25           5.3689        -3.3978
F30T02           26           1.3681        -0.2904
F30T02           27          -3.3254        -0.6957
F30T02           28           2.6629         0.3154
F30T02           29           1.8160         4.0042
F30T02           30           0.7804        -0.0737
F30T02           31          -0.9696         1.0265
F30T02           32           0.8715         0.0976
F30T02           33           4.6434        -0.0186
F30T02           34           1.4200         0.3423
F30T02           35           7.4060        -0.3059
F30T02           36          -1.8191         0.0046
F30T02           37          -2.9460        -0.3209
F30T02           38          -0.4558         0.6478
F30T02           39           5.1546        -2.1807
F30T02           40          -0.1578        -1.8618
F30T02           41           0.2653         0.1350
F30T02           42           0.0301         0.1286
F30T02           43           0.1317         0.0706
F30T02           44           0.4395        -0.0137
F30T02           45          -0.8706        -2.6413
F30T02           46           1.5594         0.1607
F30T02           47           0.2641        -0.0404
F30T02           48          -0.1249        -0.2709
F30T02           49           1.4329         0.2574
F30T02           50           0.3477         0.1833
F30T02           51           1.1529         0.3917
F30T02           52          -0.7332         0.0195
F30T02           53           0.0932        -0.1525
F30T02           54           0.0085         0.1103
F30T02           55           0.2261         0.0424
F30T02           56           1.4331         0.2723
F30T02           57           0.2827         0.1749
F30T02           58           0.3037         0.2140
F30T02           59           0.4164         0.2721
F30T02           60           0.5964         0.0245
F30T02           61           0.5671        -0.0541
F30T02           62          -0.0191        -0.0485
F30T02           63           0.2441         0.2390
F30T02           64          -0.4887        -0.1902
F30T02           65           0.0260         0.0064
F30T02           66           0.0669         0.1162
F30T02           67           0.0177         0.1091
F30T02           68          -4.0679        -9.4876
F30T02           69           1.2123        -2.4543
F30T02           70          -0.3186        -0.0592
F30T02           71           0.5954        -0.2855
F30T02           72          -0.1288        -0.0471
F30T02           73           0.1137         0.0713
F30T02           74           0.0270         0.2920
F30T02           75          -5.7901        -2.3355
F30T02           76           0.1879         0.1181
F30T02           77           0.3206         0.1247
F30T02           78          -0.1903        -0.3354
F30T02           79          -4.5976        -7.6868
F30T02           80           0.0202         0.1168
F30T02           81          -2.1711        -0.2465
F30T02           82           0.4541         0.1749
F30T02           83           0.1942         0.1087
F30T02           84          -0.3811        -0.0056
F30T02           85           0.3349         0.0796
F30T02           86           0.3948        -0.0229
F30T02           87           0.1392         0.1638
F30T02           88          -0.2149        -0.0070
F30T02           89          -0.0102        -0.0236
F30T02           90           0.0804        -0.0043
F30T02           91           0.2190        -0.5499
F30T02           92          -1.1510        -0.7637
F30T02           93          -0.0235         0.0374
F30T02           94           0.3258         0.1358
F30T02           95           0.0698         0.0450
F30T02           96           0.0540         0.0049
F30T02           97          -0.0853        -0.0007
F30T02           98           0.0473        -0.0255
F30T02           99          -0.1588        -0.0095
F30T02          100           0.2394        -0.0022
F30T02          101           1.7208         0.0121
F30T02          102           0.2267         0.1322
F30T02          103           2.0737         0.2523
F30T02          104           1.7797         0.1602
F30T02          105          -0.1316        -0.2692
F30T02          106          -0.3330        -0.1132
F30T02          107          -0.9097         0.3010
F30T02          108           0.2870        -0.1355
F30T02          109           0.5484         0.0077
F30T02          110           0.0282         0.1037
F30T02          111           0.5950         0.0495
F30T02          112           0.2531        -0.0208
F30T02          113           0.0350         0.0829
F30T02          114          -0.2192         0.0213
F30T02          115           0.3142         0.0919
F30T02          116          -0.2304        -0.0941
F30T02          117           0.1501        -0.5772
F30T02          118           0.0705         0.0808
F30T02          119           0.6393         0.0807
F30T02          120           0.4967        -0.0403
