Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
H02N01            1           0.0033         0.5873
H02N01            2           0.7425        -0.0260
H02N01            3           0.7070        -0.2734
H02N01            4           0.0618         0.1900
H02N01            5           0.2632        -0.0001
H02N01            6          -0.6017        -0.0986
H02N01            7          -0.2796        -0.0462
H02N01            8           0.3936         0.2986
H02N01            9           0.4262        -0.2185
H02N01           10          -0.1721         0.0098
H02N01           11           0.0607        -0.7094
H02N01           12           0.4982        -0.5413
H02N01           13          -0.1610         0.3053
H02N01           14          -2.9577        -1.2388
H02N01           15          -0.9922        -0.2078
H02N01           16           0.7550         0.2045
H02N01           17          -0.1896         0.2076
H02N01           18           0.0791         0.1213
H02N01           19           0.4167         0.1652
H02N01           20          -0.2282         0.8313
H02N01           21          -0.7080         0.1927
H02N01           22           0.2905        -0.0680
H02N01           23           0.0534         0.1789
H02N01           24           0.2577        -0.1282
H02N01           25           1.2101        -0.0537
H02N01           26           3.1112         1.3504
H02N01           27          -1.1597         1.4985
H02N01           28          -1.5371        -0.0201
H02N01           29          -0.1010         0.0164
H02N01           30          -0.0196         0.0061
H02N01           31           0.2848         0.0922
H02N01           32          10.2484        -0.6775
H02N01           33          -1.6888        -0.7810
H02N01           34           0.4183         0.0900
H02N01           35          -1.6296         0.0374
H02N01           36          -2.1797         1.6388
H02N01           37           5.6833         0.0129
H02N01           38          -1.4098         0.1857
H02N01           39          -0.4149         0.4568
H02N01           40           0.4027         0.4534
H02N01           41           1.6804        -0.4360
H02N01           42          -0.4782         0.1326
H02N01           43           0.4909        -0.1426
H02N01           44          -0.4044         0.1120
H02N01           45           1.2044        -1.1705
H02N01           46          -0.1512         0.2113
H02N01           47           1.0250         0.1314
H02N01           48           0.3015        -0.0655
H02N01           49          -0.0183        -0.1339
H02N01           50           2.1670        -0.8642
H02N01           51           0.4801         0.1052
H02N01           52           0.9682         0.0807
H02N01           53           0.5185         0.0970
H02N01           54           0.5119        -0.0422
H02N01           55           1.8191         0.3008
H02N01           56           0.8601        -0.3251
H02N01           57           2.1111        -0.3687
H02N01           58           0.4156        -0.0213
H02N01           59           0.2658         0.1183
H02N01           60          -0.0828         0.0494
H02N01           61           0.8886        -0.0797
H02N01           62           0.7655        -0.4308
H02N01           63           0.5039        -0.2184
H02N01           64           1.3829        -1.4636
H02N01           65          -0.2859        -0.1741
H02N01           66           0.7892        -0.0642
H02N01           67           0.2033         0.1310
H02N01           68          -0.1939        -0.1251
H02N01           69           1.7801        -0.8996
H02N01           70           0.7950        -0.5012
H02N01           71           0.2901         0.2044
H02N01           72           0.5715         0.0175
H02N01           73           0.0111         0.0263
H02N01           74           1.8225        -3.4242
H02N01           75          -0.1308         0.1243
H02N01           76           0.8095        -0.0821
H02N01           77          -0.5041        -0.0527
H02N01           78           0.3223        -0.1358
H02N01           79           0.0551        -0.0062
H02N01           80           0.9454        -1.0357
H02N01           81           0.9968        -0.8326
H02N01           82           0.4787         0.1885
H02N01           83           0.7163         0.0477
H02N01           84           0.0830         0.0676
H02N01           85          -0.3493         0.0159
H02N01           86           0.0630        -0.1217
H02N01           87           1.1941        -0.9903
H02N01           88          -0.1891        -0.1746
H02N01           89          -0.1781         0.0830
H02N01           90           0.3331         0.1010
H02N01           91           0.2486         0.1926
H02N01           92           0.1702         0.1756
H02N01           93           0.2357        -0.0288
H02N01           94           0.2067         0.1693
H02N01           95           0.6503        -1.5229
H02N01           96           0.3162         0.0618
H02N01           97           0.3475        -0.0503
H02N01           98          -0.5825        -0.2556
H02N01           99           0.6010        -0.1994
H02N01          100           0.5172         0.1323
H02N01          101           0.2331        -0.2530
H02N01          102           0.4094         0.2524
H02N01          103           0.4964         0.6160
H02N01          104           0.7378        -0.1273
H02N01          105           0.2540         0.1645
H02N01          106           0.3083         0.0809
H02N01          107           0.4823        -0.1648
H02N01          108          -0.3533         0.1202
H02N01          109           0.3474        -0.5416
H02N01          110           0.0742         0.0440
H02N01          111           0.2224         0.1026
H02N01          112           0.4447         0.1167
H02N01          113           0.4129        -0.1971
H02N01          114          -0.0191         0.1604
H02N01          115           0.7151        -0.1013
H02N01          116           0.7159        -0.8058
H02N01          117           0.2027        -0.1310
H02N01          118           1.3234        -0.1207
H02N01          119          -0.1854         0.1097
H02N01          120           0.3374        -0.0297
