Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
M28B11            1          -0.4809         0.2518
M28B11            2           0.6637        -0.0466
M28B11            3          -0.5206         0.5625
M28B11            4          -0.7052         0.7377
M28B11            5           0.6136         0.0404
M28B11            6           0.0173         0.5419
M28B11            7           0.1426         0.0990
M28B11            8           0.4207         0.5484
M28B11            9          -0.3182         0.2744
M28B11           10          -0.1435        -0.2313
M28B11           11           0.2230         0.1633
M28B11           12          -0.7532         1.4126
M28B11           13          -0.1523        -0.8272
M28B11           14           0.1994         0.3407
M28B11           15           0.0629        -0.1744
M28B11           16          -0.1390        -0.1241
M28B11           17          -0.5136        -0.4105
M28B11           18          -0.4879         0.0187
M28B11           19           0.3115         0.0302
M28B11           20          -1.0136         0.0310
M28B11           21           0.4116         0.2035
M28B11           22          -0.1468         0.4584
M28B11           23           0.8022         0.9923
M28B11           24           1.0799         2.0799
M28B11           25           0.2942        -0.3346
M28B11           26          -0.5184         1.0185
M28B11           27          -1.2538         0.8810
M28B11           28          -0.7564         1.3062
M28B11           29          -0.3870        -0.1770
M28B11           30           0.2943         0.1358
M28B11           31          -3.8137         2.6352
M28B11           32          -2.7251         1.0502
M28B11           33          -1.3485        -0.7889
M28B11           34          -5.1458         8.6920
M28B11           35           5.3058        -4.3435
M28B11           36           1.3473        -0.4040
M28B11           37          -0.0314         0.8830
M28B11           38          21.7868        19.4523
M28B11           39          -2.9414         1.9861
M28B11           40          -5.6381        -2.9671
M28B11           41           2.7867         1.4793
M28B11           42           1.6797        -0.2727
M28B11           43          -1.3661        -0.0568
M28B11           44          -0.2310        -0.6900
M28B11           45           1.2042         0.8138
M28B11           46           0.5444         0.0970
M28B11           47          -0.1369         0.0748
M28B11           48           0.4316        -0.0366
M28B11           49           0.0961         0.0934
M28B11           50           0.9011         0.3484
M28B11           51          -2.4184        -0.3528
M28B11           52           3.6058         2.4780
M28B11           53          -0.0554         0.5716
M28B11           54           0.2278         0.0148
M28B11           55           0.4444        -0.2671
M28B11           56           0.8985         0.2337
M28B11           57           0.2740        -0.2792
M28B11           58           5.8228         0.1715
M28B11           59           0.3612         0.2512
M28B11           60           0.7141         0.3294
M28B11           61           1.1436         0.0048
M28B11           62          -7.7882         1.6991
M28B11           63           1.3002        -0.7799
M28B11           64           1.0923         1.9821
M28B11           65           0.6193         0.4293
M28B11           66           0.0585         2.0417
M28B11           67          -0.4335         0.1206
M28B11           68           1.0247         1.8347
M28B11           69          -0.1259        -0.1490
M28B11           70           0.6184         0.3608
M28B11           71          -0.0496        -0.6836
M28B11           72          -0.5248        -0.3639
M28B11           73           0.8115         0.2064
M28B11           74           0.0340         0.1139
M28B11           75          -0.6389         0.1059
M28B11           76          -0.5833         0.2008
M28B11           77          -1.9199         7.1263
M28B11           78           1.1074         0.5275
M28B11           79           0.0544        -0.4040
M28B11           80           0.7630        -2.1098
M28B11           81           1.0024         0.9046
M28B11           82          -0.1863        -0.0377
M28B11           83          -0.5722        -0.3197
M28B11           84           0.8846        -0.4025
M28B11           85           0.8215         0.0880
M28B11           86          -0.3134        -0.0733
M28B11           87          -0.3776         1.2911
M28B11           88           0.6653         0.3396
M28B11           89           0.7694         2.1033
M28B11           90           0.4218        -0.6290
M28B11           91          -0.2192         0.5523
M28B11           92           0.2974         0.5367
M28B11           93          -1.8085        -1.6153
M28B11           94           2.0325         0.2968
M28B11           95           0.7555        -0.1378
M28B11           96           0.5444        -0.0373
M28B11           97           0.0998         0.6570
M28B11           98           0.2604         0.4134
M28B11           99           2.6462         1.8884
M28B11          100          -2.4145        -1.2838
M28B11          101           0.4851         0.7871
M28B11          102          -1.0969        -0.2855
M28B11          103           0.9282         0.8105
M28B11          104           0.6474         0.3976
M28B11          105          -0.2267        -0.2248
M28B11          106           1.9968         0.5125
M28B11          107           0.0216        -2.4304
M28B11          108          -6.7370        -1.6984
M28B11          109           0.0842         0.1588
M28B11          110          -0.1164         0.0274
M28B11          111          -0.3249        -0.7373
M28B11          112           1.3413        -0.6336
M28B11          113           1.0635         0.4598
M28B11          114           0.5507         0.3040
M28B11          115           0.0595         0.1379
M28B11          116           4.5818         2.3998
M28B11          117           1.7555         0.3486
M28B11          118          -0.6282         0.0994
M28B11          119           1.5482        -0.4471
M28B11          120           0.6387         0.8056
