Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
M28I03            1          -0.6616        -0.6952
M28I03            2           0.0286         0.4694
M28I03            3          -0.6498         0.4944
M28I03            4          -0.8170         0.6735
M28I03            5           0.5868         0.4527
M28I03            6          -0.0595        -1.7559
M28I03            7          -0.6679        -0.3035
M28I03            8           1.0869         0.0318
M28I03            9          -0.4294        -0.0931
M28I03           10          -0.2325         0.6988
M28I03           11          -0.1027         0.1146
M28I03           12           0.0583         0.0273
M28I03           13           0.1389        -0.0481
M28I03           14          -0.5005         0.5603
M28I03           15          -0.1724         0.6246
M28I03           16          -0.4501         0.4531
M28I03           17           0.0088         0.0696
M28I03           18          -0.0997         0.0394
M28I03           19           0.2949        -0.1707
M28I03           20          -0.3484         0.1724
M28I03           21           0.8934         0.2011
M28I03           22           4.1004         4.6836
M28I03           23           0.6884        -1.1357
M28I03           24           0.5645         2.6611
M28I03           25          -0.2642        -0.3407
M28I03           26           0.8201         0.0452
M28I03           27           1.4650         0.6978
M28I03           28           0.1665         0.0862
M28I03           29           0.0348        -1.8234
M28I03           30          -0.2274         0.2663
M28I03           31           2.4656        12.6220
M28I03           32           0.8934        -1.5386
M28I03           33          14.6403         6.2026
M28I03           34           0.2011        -0.6235
M28I03           35           0.9919        -0.0398
M28I03           36           3.6709         3.7069
M28I03           37          -0.2008        -0.0888
M28I03           38           1.8728         0.6182
M28I03           39           0.5345         5.6797
M28I03           40           2.7439        -0.8872
M28I03           41           0.1185         1.7946
M28I03           42           1.0572        -0.2025
M28I03           43           0.2116        -0.0422
M28I03           44           4.9868         2.8631
M28I03           45           2.9501         1.4552
M28I03           46           0.8029        -0.1150
M28I03           47          -0.3600         0.0578
M28I03           48           0.7011         1.4840
M28I03           49           5.0604         3.4839
M28I03           50           1.4572        -0.5910
M28I03           51           2.7291         0.9260
M28I03           52           1.1834        -0.0240
M28I03           53           0.8115         0.0853
M28I03           54           0.7240         0.0670
M28I03           55           2.3789         3.9134
M28I03           56          -1.1112         0.4338
M28I03           57           4.0150         2.3779
M28I03           58           1.1516        -0.2608
M28I03           59           0.2660        -0.4670
M28I03           60          -0.1740         0.4388
M28I03           61           0.1532         0.4106
M28I03           62          -0.3331        -0.0788
M28I03           63          -0.4144        -0.1511
M28I03           64          -0.6684         0.1608
M28I03           65           0.8131         0.4820
M28I03           66          -0.1203        -1.6106
M28I03           67          -0.2780        -0.5114
M28I03           68           0.1728        -0.5010
M28I03           69           0.0661        -0.0150
M28I03           70           0.1707         0.4806
M28I03           71          -0.0634        -5.1422
M28I03           72          -0.0374        -0.0162
M28I03           73          -0.0486        -0.4881
M28I03           74           0.0238         0.0277
M28I03           75          -0.0064        -0.0893
M28I03           76           0.1171         0.0530
M28I03           77           0.3317        -1.4682
M28I03           78          -0.4069         0.1345
M28I03           79          -0.1572        -5.2867
M28I03           80           0.4300        -1.2589
M28I03           81           0.2837        -0.2995
M28I03           82           0.2400         0.1812
M28I03           83           0.0251         0.0888
M28I03           84           0.8570         0.5057
M28I03           85           5.2000         4.6926
M28I03           86           0.3992        -2.0056
M28I03           87           0.1588        -0.2217
M28I03           88           2.9799         3.8398
M28I03           89          -0.0905         0.6199
M28I03           90           2.1191         0.5441
M28I03           91           1.0672        -0.4738
M28I03           92           0.4875        -0.3466
M28I03           93           0.3961         0.4675
M28I03           94           1.5145         5.3354
M28I03           95           1.3007         0.3169
M28I03           96           2.6534         0.3574
M28I03           97           4.4802         7.8628
M28I03           98           0.7114         0.0594
M28I03           99           2.8076         1.1803
M28I03          100           1.2716        -0.0006
M28I03          101           0.4006         0.0398
M28I03          102          -0.1429        -0.0257
M28I03          103          -0.4693         0.1489
M28I03          104           0.5070        -0.1634
M28I03          105           0.0646         0.1280
M28I03          106          -0.2815         0.0413
M28I03          107          -0.1663         0.1887
M28I03          108           0.0686         0.0143
M28I03          109           0.3358         0.0012
M28I03          110          -0.7691         0.9976
M28I03          111           0.2270        -0.9515
M28I03          112           0.5194         0.2395
M28I03          113          -0.0288        -0.0045
M28I03          114           0.0127        -0.0045
M28I03          115           0.6698         0.0033
M28I03          116           0.1305         0.0146
M28I03          117          -0.1541         0.0742
M28I03          118           0.6504        -0.0298
M28I03          119          -0.0142        -0.0074
M28I03          120          -0.1524        -0.3323
