Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
R27R01            1           0.1104        -0.7078
R27R01            2           0.0979        -0.1885
R27R01            3           0.6513         0.7830
R27R01            4           0.2138        -0.9419
R27R01            5           0.1987         1.2961
R27R01            6          -0.2176        -0.9314
R27R01            7          -0.2521        -0.3319
R27R01            8          -0.4800        -2.0729
R27R01            9           0.3850         1.6418
R27R01           10          -0.0318         1.3920
R27R01           11           0.1855         0.4563
R27R01           12           0.1146         0.2527
R27R01           13           0.4121         0.5982
R27R01           14          -0.1542        -2.0666
R27R01           15           0.2433        -0.1586
R27R01           16          -0.0674        -3.0884
R27R01           17           0.4884         1.1771
R27R01           18          -1.0171         0.0796
R27R01           19          -0.2832         2.1070
R27R01           20          -0.3428        -2.8755
R27R01           21           0.1959         1.5362
R27R01           22           0.4982        -1.4419
R27R01           23          -0.2117        -0.6288
R27R01           24          -0.4738        -0.1871
R27R01           25           0.2490         0.0876
R27R01           26           0.1098        -0.3045
R27R01           27          -0.8085        -1.8016
R27R01           28           2.6120         1.4386
R27R01           29          -0.0299        -0.7919
R27R01           30          -1.0855        -2.4608
R27R01           31           0.3524         1.1770
R27R01           32          -0.5651        -0.4808
R27R01           33           0.3928        -2.1847
R27R01           34           0.4076        -1.0152
R27R01           35          -0.3465        -0.0351
R27R01           36          -1.5428         1.1865
R27R01           37           0.4341        -0.2446
R27R01           38           0.2166        -1.4432
R27R01           39          -0.1109         1.0362
R27R01           40          -0.8254         2.2106
R27R01           41          -0.0213        -1.5236
R27R01           42           1.1347         1.2280
R27R01           43          -0.6239         0.2930
R27R01           44           0.3175         2.3791
R27R01           45          -0.3061        -3.2643
R27R01           46          -0.6381        -0.3735
R27R01           47          -0.2113         0.2441
R27R01           48          -0.0658        -0.6605
R27R01           49           0.3909        -0.7104
R27R01           50           0.6250        -0.1220
R27R01           51          -0.9364        -0.7440
R27R01           52          -0.3883        -0.9913
R27R01           53          -0.1070         0.5885
R27R01           54          -1.5997        -1.7910
R27R01           55           0.4816         0.3991
R27R01           56          -0.0372         0.3527
R27R01           57          -0.7707        -4.4888
R27R01           58           0.0580         0.4244
R27R01           59           1.5381         0.3176
R27R01           60          -0.7274         1.4323
R27R01           61          -0.7215         1.3333
R27R01           62          -0.1791         1.0051
R27R01           63           0.7895        -1.8997
R27R01           64           0.2287         2.0135
R27R01           65           0.1119        -1.0667
R27R01           66          -0.2763        -0.1783
R27R01           67           0.4538         1.4902
R27R01           68           0.4990         1.5474
R27R01           69          -0.1051        -1.1796
R27R01           70          -0.3399        -1.6932
R27R01           71           0.6568        -3.4878
R27R01           72           0.2868         2.2122
R27R01           73           0.4360        -0.3485
R27R01           74          -0.7893         0.5419
R27R01           75          -0.3321        -0.5460
R27R01           76          -0.6494        -0.6167
R27R01           77          -0.3054        -1.2708
R27R01           78          -1.0986        -0.0016
R27R01           79          -0.2575        -0.1158
R27R01           80           0.2641         0.7217
R27R01           81          -0.5983        -0.6998
R27R01           82           0.3597         0.1077
R27R01           83          -0.0490        -1.0205
R27R01           84          -1.0747         0.0980
R27R01           85           0.9386        -1.1784
R27R01           86          -0.4636        -0.2057
R27R01           87           0.0627        -1.4223
R27R01           88           0.0665         1.1616
R27R01           89           1.5055        -1.2754
R27R01           90           0.4440         0.4062
R27R01           91          -1.0212         0.5126
R27R01           92          -0.5589        -1.3481
R27R01           93           0.6415         0.6340
R27R01           94           0.4620         3.4499
R27R01           95         -38.7485       -10.2645
R27R01           96          -1.4876        -1.9000
R27R01           97          -0.6438         1.1683
R27R01           98           0.9679        -1.3574
R27R01           99           1.6945         0.1421
R27R01          100           0.6436         0.4197
R27R01          101           1.1207        -1.1849
R27R01          102          -0.5006        -0.0855
R27R01          103           0.3765        -0.7964
R27R01          104           0.7351         2.4509
R27R01          105           0.0244         2.5897
R27R01          106           1.1646         0.5483
R27R01          107          -0.0738        -5.5615
R27R01          108          -0.7491        -0.8708
R27R01          109           0.2776        -1.0513
R27R01          110          -0.4339         1.3629
R27R01          111           0.9418         3.7150
R27R01          112           0.4704        -3.7371
R27R01          113           0.7957        -1.6602
R27R01          114          -0.5445         0.3895
R27R01          115          -0.3626         1.2140
R27R01          116          -0.0806        -0.7466
R27R01          117          -0.3297         1.7547
R27R01          118          -0.9942         1.7974
R27R01          119           0.0654        -2.5014
R27R01          120          -1.0402         0.9766
