Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
T07L11            1           0.3424        -1.0355
T07L11            2           0.3480         0.0237
T07L11            3          -0.1950         0.0817
T07L11            4           0.3007        -0.4679
T07L11            5           0.0660         0.1229
T07L11            6          -0.0091         0.1124
T07L11            7           0.1813         0.0664
T07L11            8           0.3681        -0.0302
T07L11            9          -0.0179        -0.0863
T07L11           10          -0.0603         0.3540
T07L11           11           0.5681         0.0729
T07L11           12          -0.3894         0.0398
T07L11           13           0.0327         0.1566
T07L11           14          -0.0155         0.4504
T07L11           15           0.3054         0.2998
T07L11           16          -0.1849        -0.1386
T07L11           17          -0.1760         0.1455
T07L11           18           0.1791         0.0852
T07L11           19          -0.7040         0.0498
T07L11           20           1.5175         0.6406
T07L11           21           0.4493         0.2148
T07L11           22           0.9929        -0.0404
T07L11           23          -0.1278        -0.5467
T07L11           24           0.0360         0.2524
T07L11           25           0.5138        -0.3351
T07L11           26           0.0605         0.8729
T07L11           27           0.9182        -2.1673
T07L11           28          -0.1470        -0.2819
T07L11           29           0.9401        -0.1012
T07L11           30           0.5818        -0.1288
T07L11           31           0.1902        -0.0360
T07L11           32           0.5860         0.1358
T07L11           33           0.7939        -0.0561
T07L11           34           0.5474        -0.2825
T07L11           35           0.8501         0.0683
T07L11           36          -0.2107         0.6116
T07L11           37           0.9221         0.1401
T07L11           38          -0.6745        -0.3946
T07L11           39           0.3145         0.6291
T07L11           40           0.3930         0.1190
T07L11           41           0.3237         0.2339
T07L11           42           1.7017         0.4500
T07L11           43           0.7939         0.0693
T07L11           44           0.7118        -0.0056
T07L11           45           0.3280         0.0761
T07L11           46           0.4276         0.3374
T07L11           47           0.6339         0.1375
T07L11           48          -0.5327        -0.3946
T07L11           49           0.1819         0.2325
T07L11           50          -0.2886         0.0273
T07L11           51           0.5129         0.0490
T07L11           52           0.4563         0.1995
T07L11           53           0.6501         0.0347
T07L11           54           0.6127        -0.0920
T07L11           55          -0.5291         0.1752
T07L11           56           0.1014        -0.2914
T07L11           57          -0.0068         0.1603
T07L11           58           0.0185         0.1993
T07L11           59           0.0362         0.1790
T07L11           60           0.7323        -0.0731
T07L11           61           0.9116         0.3356
T07L11           62           1.0932        -0.2738
T07L11           63           0.2926         0.1947
T07L11           64           0.8557         0.1537
T07L11           65           0.1379        -0.0528
T07L11           66           0.3119        -0.0695
T07L11           67          -0.1581         0.3172
T07L11           68           0.7139        -0.1876
T07L11           69           2.4611         0.2597
T07L11           70          -0.5446        -0.1424
T07L11           71           1.0596         0.0309
T07L11           72          -0.4939        -0.1315
T07L11           73           0.1672         0.3296
T07L11           74           0.5384         0.2803
T07L11           75           0.8622         0.0169
T07L11           76          -0.0594        -0.3108
T07L11           77           0.8056        -0.2777
T07L11           78           0.2556        -0.1595
T07L11           79           0.3461         0.2989
T07L11           80          -0.3842         0.4426
T07L11           81          -0.0461        -0.4137
T07L11           82           0.2044        -0.0213
T07L11           83           0.8513         0.0017
T07L11           84          -1.0858        -0.0565
T07L11           85           2.5023        -0.9025
T07L11           86           1.0876         0.1663
T07L11           87          -0.0961         0.1758
T07L11           88          -0.0703         0.0517
T07L11           89           0.8092        -0.0240
T07L11           90           0.8163         0.1037
T07L11           91           0.8644        -0.0113
T07L11           92          -0.0955         0.1135
T07L11           93           0.2319         0.1297
T07L11           94          -0.1427         0.0077
T07L11           95          -0.1989         0.1612
T07L11           96           0.0730        -0.1229
T07L11           97           0.5810         0.0346
T07L11           98           0.2685         0.2146
T07L11           99           0.1506         0.3127
T07L11          100          -0.3228        -0.0843
T07L11          101           0.2133         0.5944
T07L11          102           1.7183        -2.1335
T07L11          103          -0.8336        -0.2046
T07L11          104           2.1832        -0.2248
T07L11          105           0.6401        -0.0861
T07L11          106           0.6410         0.0200
T07L11          107           0.1225        -0.0833
T07L11          108           0.1510        -0.2271
T07L11          109           0.6981        -0.3042
T07L11          110           0.4279         0.2368
T07L11          111           0.1321         0.2384
T07L11          112           0.3723         0.0044
T07L11          113          -0.3526         0.3054
T07L11          114          -0.5517        -0.1444
T07L11          115           0.2068        -0.1541
T07L11          116          -0.6858         0.0299
T07L11          117          -0.1146         0.1527
T07L11          118           0.6366        -2.1655
T07L11          119          -0.0640         0.2817
T07L11          120           0.2531        -0.0631
