Block,conds_view_File,n_reps,instr_1,TriggerBlockView,ImageFile,Trigger,conds_reg_File,TriggerBlockReg,instr_2,blocks_view.thisRepN,blocks_view.thisTrialN,blocks_view.thisN,blocks_view.thisIndex,trials_view.thisRepN,trials_view.thisTrialN,trials_view.thisN,trials_view.thisIndex,blocks_reg.thisRepN,blocks_reg.thisTrialN,blocks_reg.thisN,blocks_reg.thisIndex,trials_reg.thisRepN,trials_reg.thisTrialN,trials_reg.thisN,trials_reg.thisIndex,trials_choice.thisRepN,trials_choice.thisTrialN,trials_choice.thisN,trials_choice.thisIndex,Fix_jitter,image_view.started,image_view.lasted,image_view.stopped,slider_arousal.response,slider_arousal.rt,slider_effort.response,slider_effort.rt,image_reg.started,image_reg.lasted,image_reg.stopped,resp_choice.keys,resp_choice.rt,key_resp.keys,key_resp.rt,image.started,image.lased,image.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7002.jpg,1,,,,0,0,0,0,0,0,0,6,,,,,,,,,,,,,4.6,102.38803093950264,6.032232329947874,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/107.jpg,1,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,3.4,111.83589723682962,6.008000931702554,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7000.jpg,1,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,4.6,122.51410454360303,6.002135001821443,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7185.jpg,1,,,,0,0,0,0,0,3,3,15,,,,,,,,,,,,,3.0,131.56704169500154,6.012370576383546,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7211.jpg,1,,,,0,0,0,0,0,4,4,16,,,,,,,,,,,,,4.1,141.7273509738734,6.009473733836785,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7025.jpg,1,,,,0,0,0,0,0,5,5,11,,,,,,,,,,,,,4.3,152.07643205241766,6.0102260146522895,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/140.jpg,1,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,3.3,161.41374514915515,6.003354434622452,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7233.jpg,1,,,,0,0,0,0,0,7,7,18,,,,,,,,,,,,,4.6,172.08098198799416,6.002204295131378,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7100.jpg,1,,,,0,0,0,0,0,8,8,13,,,,,,,,,,,,,5.0,183.1310559809208,6.001633652485907,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7004.jpg,1,,,,0,0,0,0,0,9,9,7,,,,,,,,,,,,,4.2,193.3831435200991,6.014610737096518,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7235.jpg,1,,,,0,0,0,0,0,10,10,19,,,,,,,,,,,,,3.1,202.54247018229216,6.010771057452075,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7009.jpg,1,,,,0,0,0,0,0,11,11,9,,,,,,,,,,,,,4.5,213.09745709842537,6.001306113554165,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7006.jpg,1,,,,0,0,0,0,0,12,12,8,,,,,,,,,,,,,4.0,223.14877227449324,5.9996222235495225,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7021.jpg,1,,,,0,0,0,0,0,13,13,10,,,,,,,,,,,,,4.6,233.80327551730443,6.005107617820613,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7150.jpg,1,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,4.4,244.269613917917,6.0066038387594745,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7041.jpg,1,,,,0,0,0,0,0,15,15,12,,,,,,,,,,,,,4.8,255.11908044014126,6.009785232599825,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/124.jpg,1,,,,0,0,0,0,0,16,16,2,,,,,,,,,,,,,3.5,264.6840712475823,6.011491899611428,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/143.jpg,1,,,,0,0,0,0,0,17,17,4,,,,,,,,,,,,,3.1,273.84080807480495,6.014131779666059,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7224.jpg,1,,,,0,0,0,0,0,18,18,17,,,,,,,,,,,,,3.4,283.30075674003456,6.010546175180934,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/083.jpg,1,,,,0,0,0,0,0,19,19,0,,,,,,,,,,,,,3.2,292.5415231746156,6.0126939449692145,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3.703703703703698,6.052506314241327,19.62962962962962,2.981978944502771,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9421.jpg,,,,,0,1,1,1,0,0,0,17,,,,,,,,,,,,,4.4,316.39363246422727,6.010181679856032,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9120.jpg,,,,,0,1,1,1,0,1,1,8,,,,,,,,,,,,,4.5,326.9535260477569,6.00516343745403,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9420.jpg,,,,,0,1,1,1,0,2,2,16,,,,,,,,,,,,,4.2,337.2154038241133,5.99945091526024,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9254.jpg,,,,,0,1,1,1,0,3,3,12,,,,,,,,,,,,,3.8,347.0611102253897,6.007314736023545,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/227.jpg,,,,,0,1,1,1,0,4,4,0,,,,,,,,,,,,,4.5,357.6246513283113,6.014248487656005,None,,,,,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
