Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
0,0,0,0,0,1220.0152445088606,EDrightbutton,0,1,1.00,1.00,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
1,0,1,1,1,1226.358710799599,EDrightbutton,0,1,2.00,1.00,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
2,0,2,2,2,1231.1175973345526,EDleftbutton,1,0,2.00,0.50,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
3,0,3,3,3,1234.3340007083025,EDleftbutton,1,0,2.00,0.75,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
4,0,4,4,4,1235.9338410131168,EDleftbutton,1,0,2.00,0.88,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
5,0,5,5,5,1238.1361752965022,EDleftbutton,1,0,2.00,0.94,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
6,0,6,6,6,1239.9489838277223,EDleftbutton,1,0,2.00,0.97,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
0,0,0,0,0,1243.0304052883293,EDrightbutton,0,1,1.00,1.00,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
1,0,1,1,1,1247.7322028700728,EDrightbutton,0,1,2.00,1.00,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
2,0,2,2,2,1250.0157661328558,EDleftbutton,1,0,2.00,0.50,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
3,0,3,3,3,1252.5156609098194,EDleftbutton,1,0,2.00,0.75,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
4,0,4,4,4,1257.0323317040456,EDrightbutton,0,1,2.00,0.88,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
5,0,5,5,5,1258.098875653348,EDrightbutton,0,1,2.00,0.81,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
6,0,6,6,6,1259.715602972894,EDleftbutton,1,0,2.00,0.78,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
0,0,0,0,0,1265.149131204118,EDrightbutton,0,1,1.00,1.00,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
1,0,1,1,1,1269.199095787597,EDrightbutton,0,1,2.00,1.00,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
2,0,2,2,2,1271.2660593457986,EDleftbutton,1,0,2.00,0.50,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
3,0,3,3,3,1282.8655993799912,EDleftbutton,1,0,2.00,0.75,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
4,0,4,4,4,1286.0991140091792,EDleftbutton,1,0,2.00,0.88,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
5,0,5,5,5,1288.5820104529848,EDrightbutton,0,1,2.00,0.94,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
6,0,6,6,6,1290.2150422111154,EDleftbutton,1,0,2.00,0.91,D17T06,2021_Nov_02_1015,ER,2021.1.4,59.9406206664071,
