Block,conds_view_File,n_reps,instr_1,TriggerBlockView,ImageFile,Trigger,conds_reg_File,TriggerBlockReg,instr_2,blocks_view.thisRepN,blocks_view.thisTrialN,blocks_view.thisN,blocks_view.thisIndex,trials_view.thisRepN,trials_view.thisTrialN,trials_view.thisN,trials_view.thisIndex,blocks_reg.thisRepN,blocks_reg.thisTrialN,blocks_reg.thisN,blocks_reg.thisIndex,trials_reg.thisRepN,trials_reg.thisTrialN,trials_reg.thisN,trials_reg.thisIndex,trials_choice.thisRepN,trials_choice.thisTrialN,trials_choice.thisN,trials_choice.thisIndex,Fix_jitter,image_view.started,image_view.lasted,image_view.stopped,slider_arousal.response,slider_arousal.rt,slider_effort.response,slider_effort.rt,image_reg.started,image_reg.lasted,image_reg.stopped,resp_choice.keys,resp_choice.rt,key_resp.keys,key_resp.rt,image.started,image.lased,image.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7224.jpg,1,,,,0,0,0,0,0,0,0,17,,,,,,,,,,,,,4.8,93.64082222797515,6.035909981717396,None,,,,,,,,,,,,,,,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7185.jpg,1,,,,0,0,0,0,0,1,1,15,,,,,,,,,,,,,4.3,104.00077473646934,6.004570752687414,None,,,,,,,,,,,,,,,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7006.jpg,1,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,3.2,113.25224617435788,6.000629381150247,None,,,,,,,,,,,,,,,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7009.jpg,1,,,,0,0,0,0,0,3,3,9,,,,,,,,,,,,,3.9,123.20239356676802,6.000454223340057,None,,,,,,,,,,,,,,,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7000.jpg,1,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,3.9,133.15263014209268,6.000754173071073,None,,,,,,,,,,,,,,,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7025.jpg,1,,,,0,0,0,0,0,5,5,11,,,,,,,,,,,,,5.0,144.20800118311718,6.00590785480108,None,,,,,,,,,,,,,,,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/083.jpg,1,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,3.3,153.5664125595208,6.005568542683704,None,,,,,,,,,,,,,,,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7002.jpg,1,,,,0,0,0,0,0,7,7,6,,,,,,,,,,,,,4.1,163.73016393936996,6.012145622225944,None,,,,,,,,,,,,,,,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7235.jpg,1,,,,0,0,0,0,0,8,8,19,,,,,,,,,,,,,3.5,173.27469941668596,6.0055439692619075,None,,,,,,,,,,,,,,,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
