Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
0,0,0,0,0,1247.6333186727716,EDrightbutton,0,1,1.00,1.00,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
1,0,1,1,1,1256.5567025291966,EDleftbutton,1,0,2.00,1.00,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
2,0,2,2,2,1262.7181300204247,EDrightbutton,0,1,2.00,1.50,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
3,0,3,3,3,1264.232724098605,EDrightbutton,0,1,2.00,1.25,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
4,0,4,4,4,1269.0494329988724,EDrightbutton,0,1,2.00,1.12,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
5,0,5,5,5,1273.5538550919155,EDrightbutton,0,1,2.00,1.06,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
6,0,6,6,6,1276.4181478890823,EDrightbutton,0,1,2.00,1.03,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
0,0,0,0,0,1280.8113797398983,EDrightbutton,0,1,1.00,1.00,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
1,0,1,1,1,1291.8831537003862,EDleftbutton,1,0,2.00,1.00,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
2,0,2,2,2,1293.4326375462115,EDrightbutton,0,1,2.00,1.50,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
3,0,3,3,3,1294.399271266535,EDrightbutton,0,1,2.00,1.25,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
4,0,4,4,4,1294.69916581898,EDrightbutton,0,1,2.00,1.12,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
5,0,5,5,5,1295.0495318057947,EDrightbutton,0,1,2.00,1.06,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
6,0,6,6,6,1295.6991440044949,EDrightbutton,0,1,2.00,1.03,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
0,0,0,0,0,1303.183850899106,EDleftbutton,1,0,1.00,1.00,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
1,0,1,1,1,1308.2666559519712,EDrightbutton,0,1,1.00,2.00,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
2,0,2,2,2,1309.2495668373303,EDleftbutton,1,0,1.50,2.00,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
3,0,3,3,3,1310.182773646433,EDleftbutton,1,0,1.25,2.00,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
4,0,4,4,4,1310.5496394347865,EDleftbutton,1,0,1.12,2.00,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
5,0,5,5,5,1310.9991951081902,EDleftbutton,1,0,1.06,2.00,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
6,0,6,6,6,1311.5159472204978,EDleftbutton,1,0,1.03,2.00,G14E11,2021_Oct_25_0841,ER,2021.1.4,60.00271407125239,
