Block,conds_view_File,n_reps,instr_1,TriggerBlockView,ImageFile,Trigger,conds_reg_File,TriggerBlockReg,instr_2,blocks_view.thisRepN,blocks_view.thisTrialN,blocks_view.thisN,blocks_view.thisIndex,trials_view.thisRepN,trials_view.thisTrialN,trials_view.thisN,trials_view.thisIndex,blocks_reg.thisRepN,blocks_reg.thisTrialN,blocks_reg.thisN,blocks_reg.thisIndex,trials_reg.thisRepN,trials_reg.thisTrialN,trials_reg.thisN,trials_reg.thisIndex,trials_choice.thisRepN,trials_choice.thisTrialN,trials_choice.thisN,trials_choice.thisIndex,Fix_jitter,image_view.started,image_view.lasted,image_view.stopped,slider_arousal.response,slider_arousal.rt,slider_effort.response,slider_effort.rt,image_reg.started,image_reg.lasted,image_reg.stopped,resp_choice.keys,resp_choice.rt,key_resp.keys,key_resp.rt,image.started,image.lased,image.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/083.jpg,1,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,3.2,85.52395283058286,6.0188563477713615,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7009.jpg,1,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,3.2,94.78148421552032,6.008354257675819,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7041.jpg,1,,,,0,0,0,0,0,2,2,12,,,,,,,,,,,,,4.0,104.84737723635044,6.008984633372165,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7100.jpg,1,,,,0,0,0,0,0,3,3,13,,,,,,,,,,,,,3.1,114.00023129815236,6.003889465937391,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7235.jpg,1,,,,0,0,0,0,0,4,4,19,,,,,,,,,,,,,4.5,124.55566248961259,6.008720934158191,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7002.jpg,1,,,,0,0,0,0,0,5,5,6,,,,,,,,,,,,,4.3,134.894106196356,6.016199146048166,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7025.jpg,1,,,,0,0,0,0,0,6,6,11,,,,,,,,,,,,,3.3,144.23278184293304,6.003882408258505,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/124.jpg,1,,,,0,0,0,0,0,7,7,2,,,,,,,,,,,,,4.9,155.1819017069647,6.0070697671035305,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/107.jpg,1,,,,0,0,0,0,0,8,8,1,,,,,,,,,,,,,4.1,165.3256164449267,6.001876755035482,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/140.jpg,1,,,,0,0,0,0,0,9,9,3,,,,,,,,,,,,,3.0,174.37576579418965,6.002270571538247,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7004.jpg,1,,,,0,0,0,0,0,10,10,7,,,,,,,,,,,,,3.8,184.2370991942007,6.014141715480946,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7233.jpg,1,,,,0,0,0,0,0,11,11,18,,,,,,,,,,,,,3.8,194.07245021080598,6.009839249425568,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7006.jpg,1,,,,0,0,0,0,0,12,12,8,,,,,,,,,,,,,4.1,204.2218203644734,6.011046105879359,None,,,,,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
