Block,conds_view_File,n_reps,instr_1,TriggerBlockView,ImageFile,Trigger,conds_reg_File,TriggerBlockReg,instr_2,blocks_view.thisRepN,blocks_view.thisTrialN,blocks_view.thisN,blocks_view.thisIndex,trials_view.thisRepN,trials_view.thisTrialN,trials_view.thisN,trials_view.thisIndex,blocks_reg.thisRepN,blocks_reg.thisTrialN,blocks_reg.thisN,blocks_reg.thisIndex,trials_reg.thisRepN,trials_reg.thisTrialN,trials_reg.thisN,trials_reg.thisIndex,trials_choice.thisRepN,trials_choice.thisTrialN,trials_choice.thisN,trials_choice.thisIndex,Fix_jitter,image_view.started,image_view.lasted,image_view.stopped,slider_arousal.response,slider_arousal.rt,slider_effort.response,slider_effort.rt,image_reg.started,image_reg.lasted,image_reg.stopped,resp_choice.keys,resp_choice.rt,key_resp.keys,key_resp.rt,image.started,image.lased,image.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H02N01,2021_Oct_27_1022,ER,2021.1.4,60.02222055595822,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/140.jpg,1,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,3.7,93.91208967825514,6.025382331761648,None,,,,,,,,,,,,,,,H02N01,2021_Oct_27_1022,ER,2021.1.4,60.02222055595822,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7185.jpg,1,,,,0,0,0,0,0,1,1,15,,,,,,,,,,,,,4.0,103.97466851533682,6.006350755880703,None,,,,,,,,,,,,,,,H02N01,2021_Oct_27_1022,ER,2021.1.4,60.02222055595822,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/107.jpg,1,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,4.6,114.63522091064078,6.000308130256599,None,,,,,,,,,,,,,,,H02N01,2021_Oct_27_1022,ER,2021.1.4,60.02222055595822,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7150.jpg,1,,,,0,0,0,0,0,3,3,14,,,,,,,,,,,,,4.6,125.28826621941698,6.011283727508271,None,,,,,,,,,,,,,,,H02N01,2021_Oct_27_1022,ER,2021.1.4,60.02222055595822,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7025.jpg,1,,,,0,0,0,0,0,4,4,11,,,,,,,,,,,,,3.8,135.14139474423428,6.004334034383646,None,,,,,,,,,,,,,,,H02N01,2021_Oct_27_1022,ER,2021.1.4,60.02222055595822,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7000.jpg,1,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,3.6,144.79967137047788,6.006709733250318,None,,,,,,,,,,,,,,,H02N01,2021_Oct_27_1022,ER,2021.1.4,60.02222055595822,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7021.jpg,1,,,,0,0,0,0,0,6,6,10,,,,,,,,,,,,,3.6,154.44688449974637,6.00988695579872,None,,,,,,,,,,,,,,,H02N01,2021_Oct_27_1022,ER,2021.1.4,60.02222055595822,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7009.jpg,1,,,,0,0,0,0,0,7,7,9,,,,,,,,,,,,,3.1,163.58144680397527,6.009167076219455,None,,,,,,,,,,,,,,,H02N01,2021_Oct_27_1022,ER,2021.1.4,60.02222055595822,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7006.jpg,1,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,3.6,173.2260935176164,6.002228931989521,None,,,,,,,,,,,,,,,H02N01,2021_Oct_27_1022,ER,2021.1.4,60.02222055595822,
