Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
0,0,0,0,0,1181.417203903009,EDrightbutton,0,1,1.00,1.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
1,0,1,1,1,1184.7794675842451,EDleftbutton,1,0,2.00,1.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
2,0,2,2,2,1186.006391016519,EDleftbutton,1,0,2.00,1.50,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
3,0,3,3,3,1188.1057539680041,EDleftbutton,1,0,2.00,1.75,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
4,0,4,4,4,1190.1724358620704,EDleftbutton,1,0,2.00,1.88,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
5,0,5,5,5,1192.9904012847546,EDrightbutton,0,1,2.00,1.94,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
6,0,6,6,6,1193.7536622751068,EDrightbutton,0,1,2.00,1.91,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
0,0,0,0,0,1195.939939137461,EDleftbutton,1,0,1.00,1.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
1,0,1,1,1,1198.9538686790765,EDleftbutton,1,0,1.00,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
2,0,2,2,2,1200.036927512876,EDrightbutton,0,1,0.50,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
3,0,3,3,3,1200.7369241123815,EDrightbutton,0,1,0.75,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
4,0,4,4,4,1201.353730990886,EDrightbutton,0,1,0.88,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
5,0,5,5,5,1201.7537559492775,EDrightbutton,0,1,0.94,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
6,0,6,6,6,1202.1706608648528,EDrightbutton,0,1,0.97,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
0,0,0,0,0,1202.9873376260948,EDleftbutton,1,0,1.00,1.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
1,0,1,1,1,1205.1706313510804,EDrightbutton,0,1,1.00,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
2,0,2,2,2,1207.220514771645,EDrightbutton,0,1,1.50,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
3,0,3,3,3,1208.0037941247137,EDrightbutton,0,1,1.75,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
4,0,4,4,4,1208.5370372271427,EDleftbutton,1,0,1.88,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
5,0,5,5,5,1209.2038324284658,EDleftbutton,1,0,1.81,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
6,0,6,6,6,1210.0202634554007,EDleftbutton,1,0,1.78,2.00,H21R03,2021_Oct_27_1143,ER,2021.1.4,59.94799819802621,
