Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
0,0,0,0,0,1173.3352379339212,EDrightbutton,0,1,1.00,1.00,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,0,1,1,1,1179.4255885671355,EDleftbutton,1,0,2.00,1.00,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,0,2,2,2,1181.23810137916,EDleftbutton,1,0,2.00,1.50,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,0,3,3,3,1184.1025738253284,EDleftbutton,1,0,2.00,1.75,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
4,0,4,4,4,1188.102512231373,EDrightbutton,0,1,2.00,1.88,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
5,0,5,5,5,1191.9954016262727,EDrightbutton,0,1,2.00,1.81,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
6,0,6,6,6,1194.167757874162,EDleftbutton,1,0,2.00,1.78,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
0,0,0,0,0,1197.1376339387825,EDrightbutton,0,1,1.00,1.00,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,0,1,1,1,1202.1679651121576,EDleftbutton,1,0,2.00,1.00,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,0,2,2,2,1204.0345853267154,EDrightbutton,0,1,2.00,1.50,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,0,3,3,3,1208.0344242841875,EDleftbutton,1,0,2.00,1.25,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
4,0,4,4,4,1210.0721066319693,EDleftbutton,1,0,2.00,1.38,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
5,0,5,5,5,1214.7706077494822,EDrightbutton,0,1,2.00,1.44,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
6,0,6,6,6,1218.3677630711518,EDrightbutton,0,1,2.00,1.41,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
0,0,0,0,0,1219.9797580448285,EDrightbutton,0,1,1.00,1.00,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,0,1,1,1,1222.8677154320776,EDleftbutton,1,0,2.00,1.00,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,0,2,2,2,1224.450993507291,EDleftbutton,1,0,2.00,1.50,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,0,3,3,3,1231.4844871453097,EDrightbutton,0,1,2.00,1.75,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
4,0,4,4,4,1232.6223450037833,EDrightbutton,0,1,2.00,1.62,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
5,0,5,5,5,1233.6677580345622,EDleftbutton,1,0,2.00,1.56,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
6,0,6,6,6,1234.5362870201334,EDrightbutton,0,1,2.00,1.59,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
