Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
0,0,0,0,0,1267.9980764721404,EDleftbutton,1,0,1.00,1.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
1,0,1,1,1,1297.7166559358593,EDleftbutton,1,0,1.00,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
2,0,2,2,2,1304.1444519405486,EDleftbutton,1,0,0.50,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
3,0,3,3,3,1314.6587540890323,EDrightbutton,0,1,0.25,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
4,0,4,4,4,1316.2178183613578,EDrightbutton,0,1,0.38,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
5,0,5,5,5,1318.1779859995586,EDrightbutton,0,1,0.44,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
6,0,6,6,6,1319.4442839365802,EDrightbutton,0,1,0.47,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
0,0,0,0,0,1323.057097596582,EDleftbutton,1,0,1.00,1.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
1,0,1,1,1,1333.7424775976106,EDleftbutton,1,0,1.00,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
2,0,2,2,2,1336.2591902512359,EDleftbutton,1,0,0.50,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
3,0,3,3,3,1341.0589094854658,EDrightbutton,0,1,0.25,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
4,0,4,4,4,1344.3424194041872,EDrightbutton,0,1,0.38,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
5,0,5,5,5,1345.8754044108791,EDrightbutton,0,1,0.44,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
6,0,6,6,6,1351.5760372566874,EDrightbutton,0,1,0.47,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
0,0,0,0,0,1352.7318779836642,EDleftbutton,1,0,1.00,1.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
1,0,1,1,1,1358.4260720155435,EDleftbutton,1,0,1.00,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
2,0,2,2,2,1366.5536975782015,EDrightbutton,0,1,0.50,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
3,0,3,3,3,1367.6922461230424,EDrightbutton,0,1,0.75,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
4,0,4,4,4,1372.209043789131,EDrightbutton,0,1,0.88,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
5,0,5,5,5,1374.7308616834343,EDrightbutton,0,1,0.94,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
6,0,6,6,6,1377.0587218164,EDrightbutton,0,1,0.97,2.00,M28B11,2021_Oct_20_1322,ER,2021.1.4,59.995207603596555,
