Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
0,0,0,0,0,1376.9956951585846,EDrightbutton,0,1,1.00,1.00,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
1,0,1,1,1,1386.9818499878747,EDrightbutton,0,1,2.00,1.00,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
2,0,2,2,2,1388.2451741762125,EDleftbutton,1,0,2.00,0.50,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
3,0,3,3,3,1392.1296360694323,EDleftbutton,1,0,2.00,0.75,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
4,0,4,4,4,1393.628473803954,EDleftbutton,1,0,2.00,0.88,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
5,0,5,5,5,1395.1966936225872,EDleftbutton,1,0,2.00,0.94,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
6,0,6,6,6,1396.209753470117,EDleftbutton,1,0,2.00,0.97,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
0,0,0,0,0,1397.1497221213504,EDrightbutton,0,1,1.00,1.00,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
1,0,1,1,1,1412.010045913179,EDrightbutton,0,1,2.00,1.00,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
2,0,2,2,2,1412.9765647756867,EDleftbutton,1,0,2.00,0.50,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
3,0,3,3,3,1416.2595826751567,EDleftbutton,1,0,2.00,0.75,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
4,0,4,4,4,1417.3265074162991,EDleftbutton,1,0,2.00,0.88,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
5,0,5,5,5,1418.3431759650048,EDleftbutton,1,0,2.00,0.94,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
6,0,6,6,6,1419.2766721160224,EDleftbutton,1,0,2.00,0.97,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
0,0,0,0,0,1420.628077292742,EDleftbutton,1,0,1.00,1.00,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
1,0,1,1,1,1427.1100931352266,EDleftbutton,1,0,1.00,2.00,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
2,0,2,2,2,1427.8933654306384,EDleftbutton,1,0,0.50,2.00,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
3,0,3,3,3,1428.6765616959892,EDrightbutton,0,1,0.25,2.00,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
4,0,4,4,4,1430.2663400475067,EDrightbutton,0,1,0.38,2.00,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
5,0,5,5,5,1431.0600428976395,EDrightbutton,0,1,0.44,2.00,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
6,0,6,6,6,1431.6598318741162,EDrightbutton,0,1,0.47,2.00,M28I03,2021_Oct_27_0855,ER,2021.1.4,59.997959770955134,
