Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
0,0,0,0,0,1250.180235256994,EDrightbutton,0,1,1.00,1.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
1,0,1,1,1,1256.2641554709408,EDrightbutton,0,1,2.00,1.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
2,0,2,2,2,1259.2310926486098,EDrightbutton,0,1,2.00,0.50,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
3,0,3,3,3,1260.944203539926,EDleftbutton,1,0,2.00,0.25,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
4,0,4,4,4,1262.0343229328282,EDleftbutton,1,0,2.00,0.38,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
5,0,5,5,5,1262.398843572766,EDleftbutton,1,0,2.00,0.44,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
6,0,6,6,6,1262.9816032852686,EDleftbutton,1,0,2.00,0.47,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
0,0,0,0,0,1263.9308617032075,EDleftbutton,1,0,1.00,1.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
1,0,1,1,1,1275.9266944844858,EDleftbutton,1,0,1.00,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
2,0,2,2,2,1276.9100932988804,EDrightbutton,0,1,0.50,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
3,0,3,3,3,1277.6095258321147,EDrightbutton,0,1,0.75,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
4,0,4,4,4,1278.0925039145804,EDrightbutton,0,1,0.88,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
5,0,5,5,5,1278.3375729463878,EDrightbutton,0,1,0.94,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
6,0,6,6,6,1279.1290079806058,EDrightbutton,0,1,0.97,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
0,0,0,0,0,1280.0083504775248,EDleftbutton,1,0,1.00,1.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
1,0,1,1,1,1283.9770870339125,EDleftbutton,1,0,1.00,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
2,0,2,2,2,1284.5770196013327,EDleftbutton,1,0,0.50,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
3,0,3,3,3,1285.3099387364346,EDleftbutton,1,0,0.25,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
4,0,4,4,4,1285.561329493561,EDrightbutton,0,1,0.12,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
5,0,5,5,5,1286.311101964704,EDrightbutton,0,1,0.19,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
6,0,6,6,6,1286.677360068541,EDrightbutton,0,1,0.22,2.00,S13R12,2021_Sep_22_1026,ER_paradigm,2021.1.4,60.06881388866558,
