Block,conds_view_File,n_reps,instr_1,TriggerBlockView,ImageFile,Trigger,conds_reg_File,TriggerBlockReg,instr_2,blocks_view.thisRepN,blocks_view.thisTrialN,blocks_view.thisN,blocks_view.thisIndex,trials_view.thisRepN,trials_view.thisTrialN,trials_view.thisN,trials_view.thisIndex,blocks_reg.thisRepN,blocks_reg.thisTrialN,blocks_reg.thisN,blocks_reg.thisIndex,trials_reg.thisRepN,trials_reg.thisTrialN,trials_reg.thisN,trials_reg.thisIndex,trials_choice.thisRepN,trials_choice.thisTrialN,trials_choice.thisN,trials_choice.thisIndex,Fix_jitter,image_view.started,image_view.lasted,image_view.stopped,slider_arousal.response,slider_arousal.rt,slider_effort.response,slider_effort.rt,image_reg.started,image_reg.lasted,image_reg.stopped,resp_choice.keys,resp_choice.rt,key_resp.keys,key_resp.rt,image.started,image.lased,image.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/107.jpg,1,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,3.4,74.85382306098472,6.0196255085757,None,,,,,,,,,,,,,,,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7002.jpg,1,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,3.4,84.31145250145346,6.010383268585429,None,,,,,,,,,,,,,,,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7025.jpg,1,,,,0,0,0,0,0,2,2,11,,,,,,,,,,,,,4.7,95.07016933208797,6.007803700049408,None,,,,,,,,,,,,,,,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/140.jpg,1,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,4.9,106.00833988841623,6.014518405660056,None,,,,,,,,,,,,,,,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7224.jpg,1,,,,0,0,0,0,0,4,4,17,,,,,,,,,,,,,3.3,115.3464398040669,6.005446703755297,None,,,,,,,,,,,,,,,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7235.jpg,1,,,,0,0,0,0,0,5,5,19,,,,,,,,,,,,,3.6,124.99489764496684,6.008077279780991,None,,,,,,,,,,,,,,,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/143.jpg,1,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,3.7,134.72500888619106,6.0146360758226365,None,,,,,,,,,,,,,,,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7211.jpg,1,,,,0,0,0,0,0,7,7,16,,,,,,,,,,,,,3.5,144.26466417813208,6.002464528777637,None,,,,,,,,,,,,,,,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7009.jpg,1,,,,0,0,0,0,0,8,8,9,,,,,,,,,,,,,4.6,154.89803277829196,6.002471586572938,None,,,,,,,,,,,,,,,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
