Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,25.401777900000525,27.39455430000089,left,1,1,0.36893809999855876,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
Q,left,Pretarget,0,1,1,1,28.887945800001035,30.892383399999744,left,1,1,0.3767747000001691,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
Q,right,Target,0,2,2,2,32.38776770000004,34.38762520000091,left,0,1,0.4253343999989738,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
T,left,Distractor,0,3,3,3,35.887324200000876,37.88934549999976,right,0,1,0.5056131000001187,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
Q,left,Lure,0,4,4,4,39.387408500000674,41.38729500000045,left,1,1,0.5980940999997983,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
L,left,Distractor,0,5,5,5,42.88680250000107,44.88868580000053,left,1,1,0.4358799000001454,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
V,left,Pretarget,0,6,6,6,46.38676570000098,48.38930810000056,left,1,1,0.5551761000006081,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
V,right,Target,0,7,7,7,49.88691140000083,51.8868180999998,right,1,1,0.5852264000004652,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
K,left,Distractor,0,8,8,8,53.38670180000008,55.38878850000037,left,1,1,0.28055610000046727,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
G,left,Pretarget,0,9,9,9,56.886499600001116,58.88987960000122,None,0,1,,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
G,right,Target,0,10,10,10,60.385842600000615,62.385946800000966,right,1,1,0.44041680000009364,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
G,right,Target,0,11,11,11,63.886124000000564,65.88603800000055,None,0,1,,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
P,left,Pretarget,0,12,12,12,67.38597370000025,69.38903849999951,left,1,1,0.48525449999942794,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
P,right,Target,0,13,13,13,70.88577420000001,72.88566549999996,right,1,1,0.26373249999960535,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
R,left,Distractor,0,0,0,0,75.07648010000048,77.07044440000027,left,1,1,0.41406819999974687,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
V,left,Distractor,0,1,1,1,78.56869030000053,80.56851450000067,left,1,1,0.3652652000000671,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
N,left,Pretarget,0,2,2,2,82.06821289999971,84.07078000000001,left,1,1,0.42697840000073484,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
N,right,Target,0,3,3,3,85.56801930000074,87.56825850000132,left,0,1,0.36609370000041963,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
S,left,Distractor,0,4,4,4,89.06806730000062,91.0693893000007,left,1,1,0.572529899998699,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
N,left,Lure,0,5,5,5,92.56796430000031,94.56749000000127,right,0,1,0.31844660000024305,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
Z,left,Distractor,0,6,6,6,96.06768600000032,98.06945120000091,right,0,1,0.5538419999993494,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
